"","Well.Row","Well.Col","Content","absorbance","Concentration","Raw.Data..450.1.","units","standard_con","dilution","absorbance_zero_adjust","standard_range_indicator"
"62","F",2,"standard_rep",0.3091,"n.a.",0.3477,"ng/ml",1.25,NA,0.21285,1
"63","F",3,"sample1_spike_sample_rep",1.4101,"n.a.",1.4611,"ng/ml",NA,2,1.31385,1
"64","F",4,"sample1_spike_control_rep",1.011,"n.a.",1.0534,"ng/ml",NA,2,0.91475,1
"65","F",5,"sample1_unspiked_sample_rep",1.3223,"n.a.",1.3923,"ng/ml",NA,2,1.22605,1
"66","F",6,"sample2_spike_sample_rep",1.1975,"n.a.",1.2538,"ng/ml",NA,2,1.10125,1
"67","F",7,"sample2_spike_control_rep",1.1834,"n.a.",1.2294,"ng/ml",NA,2,1.08715,1
"68","F",8,"sample2_unspiked_sample_rep",1.048,"n.a.",1.091,"ng/ml",NA,2,0.95175,1
"69","F",9,"empty",0.006,"n.a.",0.0438,"ng/ml",NA,NA,-0.09025,0
"70","F",10,"empty",0.0067,"n.a.",0.0473,"ng/ml",NA,NA,-0.08955,0
"71","F",11,"empty",0.0058,"n.a.",0.0494,"ng/ml",NA,NA,-0.09045,0
"72","F",12,"empty",0.0052,"n.a.",0.0495,"ng/ml",NA,NA,-0.09105,0
"73","G",1,"standard",0.2053,"n.a.",0.2375,"ng/ml",0.625,NA,0.10905,1
"74","G",2,"standard_rep",0.2284,"n.a.",0.2955,"ng/ml",0.625,NA,0.13215,1
"75","G",3,"sample1_spike_sample_rep",0.9861,"n.a.",1.0375,"ng/ml",NA,4,0.88985,1
"76","G",4,"sample1_spike_control_rep",0.4737,"n.a.",0.5183,"ng/ml",NA,4,0.37745,1
"77","G",5,"sample1_unspiked_sample_rep",1.3417,"n.a.",1.3872,"ng/ml",NA,4,1.24545,1
"78","G",6,"sample2_spike_sample_rep",0.7079,"n.a.",0.7557,"ng/ml",NA,4,0.61165,1
"79","G",7,"sample2_spike_control_rep",0.4644,"n.a.",0.5155,"ng/ml",NA,4,0.36815,1
"80","G",8,"sample2_unspiked_sample_rep",0.3958,"n.a.",0.4336,"ng/ml",NA,4,0.29955,1
"81","G",9,"empty",0.0063,"n.a.",0.0534,"ng/ml",NA,NA,-0.08995,0
"82","G",10,"empty",0.0097,"n.a.",0.0759,"ng/ml",NA,NA,-0.08655,0
"83","G",11,"empty",0.0052,"n.a.",0.0509,"ng/ml",NA,NA,-0.09105,0
"84","G",12,"empty",0.0055,"n.a.",0.0413,"ng/ml",NA,NA,-0.09075,0
"85","H",1,"standard",0.1059,"n.a.",0.1554,"ng/ml",0,NA,0.00964999999999999,1
"86","H",2,"standard_rep",0.0866,"n.a.",0.1345,"ng/ml",0,NA,-0.00965000000000001,1
"87","H",3,"sample1_spike_sample_rep",0.6338,"n.a.",0.7853,"ng/ml",NA,8,0.53755,1
"88","H",4,"sample1_spike_control_rep",0.3711,"n.a.",0.4092,"ng/ml",NA,8,0.27485,1
"89","H",5,"sample1_unspiked_sample_rep",0.503,"n.a.",0.5383,"ng/ml",NA,8,0.40675,1
"90","H",6,"sample2_spike_sample_rep",0.6309,"n.a.",0.6677,"ng/ml",NA,8,0.53465,1
"91","H",7,"sample2_spike_control_rep",0.2956,"n.a.",0.3299,"ng/ml",NA,8,0.19935,1
"92","H",8,"sample2_unspiked_sample_rep",0.0286,"n.a.",0.0705,"ng/ml",NA,8,-0.06765,0
"93","H",9,"empty",0.0059,"n.a.",0.0448,"ng/ml",NA,NA,-0.09035,0
"94","H",10,"empty",0.006,"n.a.",0.0413,"ng/ml",NA,NA,-0.09025,0
"95","H",11,"empty",0.0061,"n.a.",0.0536,"ng/ml",NA,NA,-0.09015,0
"96","H",12,"empty",0.0062,"n.a.",0.0481,"ng/ml",NA,NA,-0.09005,0
