Spectra_Filepath	Fraction	Label	Fraction_Group	Sample
Mateus_iTRAQ_run2_Fr11_4ul.mzML	11	1	2	89
Mateus_iTRAQ_run2_Fr11_4ul.mzML	11	2	2	90
Mateus_iTRAQ_run2_Fr11_4ul.mzML	11	3	2	91
Mateus_iTRAQ_run2_Fr11_4ul.mzML	11	4	2	92
Mateus_iTRAQ_run2_Fr12_4ul.mzML	12	1	2	93
Mateus_iTRAQ_run2_Fr12_4ul.mzML	12	2	2	94
Mateus_iTRAQ_run2_Fr12_4ul.mzML	12	3	2	95
Mateus_iTRAQ_run2_Fr12_4ul.mzML	12	4	2	96
				
Sample	MSstats_Condition	MSstats_BioReplicate	MSstats_Mixture	LabelName
1	c_acute_improve	1	1	114
2	c_subacute_improve	1	1	115
3	c_acute_nonimprove	1	1	116
4	c_subacute_nonimprove	1	1	117
5	c_acute_improve	1	1	114
6	c_subacute_improve	1	1	115
7	c_acute_nonimprove	1	1	116
8	c_subacute_nonimprove	1	1	117
9	c_acute_improve	1	1	114
10	c_subacute_improve	1	1	115
11	c_acute_nonimprove	1	1	116
12	c_subacute_nonimprove	1	1	117
13	c_acute_improve	1	1	114
14	c_subacute_improve	1	1	115
15	c_acute_nonimprove	1	1	116
16	c_subacute_nonimprove	1	1	117
17	c_acute_improve	1	1	114
18	c_subacute_improve	1	1	115
19	c_acute_nonimprove	1	1	116
20	c_subacute_nonimprove	1	1	117
21	c_acute_improve	1	1	114
22	c_subacute_improve	1	1	115
23	c_acute_nonimprove	1	1	116
24	c_subacute_nonimprove	1	1	117
25	c_acute_improve	1	1	114
26	c_subacute_improve	1	1	115
27	c_acute_nonimprove	1	1	116
28	c_subacute_nonimprove	1	1	117
29	c_acute_improve	1	1	114
30	c_subacute_improve	1	1	115
31	c_acute_nonimprove	1	1	116
32	c_subacute_nonimprove	1	1	117
33	c_acute_improve	1	1	114
34	c_subacute_improve	1	1	115
35	c_acute_nonimprove	1	1	116
36	c_subacute_nonimprove	1	1	117
37	c_acute_improve	1	1	114
38	c_subacute_improve	1	1	115
39	c_acute_nonimprove	1	1	116
40	c_subacute_nonimprove	1	1	117
41	c_acute_improve	1	1	114
42	c_subacute_improve	1	1	115
43	c_acute_nonimprove	1	1	116
44	c_subacute_nonimprove	1	1	117
45	c_acute_improve	1	1	114
46	c_subacute_improve	1	1	115
47	c_acute_nonimprove	1	1	116
48	c_subacute_nonimprove	1	1	117
49	c_acute_improve	1	2	114
50	c_acute_nonimprove	1	2	115
51	a	1	2	116
52	d	1	2	117
53	c_acute_improve	1	2	114
54	c_acute_nonimprove	1	2	115
55	a	1	2	116
56	d	1	2	117
57	c_acute_improve	1	2	114
58	c_acute_nonimprove	1	2	115
